codigo,nome,nome_cientifico,Energia (kcal),Umidade (g),Carboidrato total (g),Proteína (g),Lipídios (g),Fibra alimentar (g),Álcool (g),Cinzas (g),Colesterol (mg),Ácidos graxos saturados (g),Ácidos graxos monoinsaturados (g),Ácidos graxos poliinsaturados (g),Ácidos graxos trans (g),Cálcio (mg),Ferro (mg),Sódio (mg),Magnésio (mg),Fósforo (mg),Potássio (mg),Zinco (mg),Cobre (mg),Selênio (mcg),Vitamina A (RE) (mcg),Vitamina A (RAE) (mcg),Vitamina D (mcg),Alfa-tocoferol (Vitamina E) (mg),Tiamina (mg),Riboflavina (mg),Niacina (mg),Vitamina B6 (mg),Vitamina B12 (mcg),Vitamina C (mg),Equivalente de folato (mcg),Sal de adição (g),Açúcar de adição (g),codigo_FoodOn
C0654F,"Carne, boi, acém, s/ gordura, à milanesa (ovo e farinha de rosca), frita (c/ óleo de soja), c/ sal",bos taurus ,263 kcal,49.8 g,7.94 g,23.8 g,15.2 g,0.48 g,0.00 g,1.73 g,104 mg,4.61 g,4.91 g,5.18 g,0.20 g,12.6 mg,2.70 mg,286 mg,22.1 mg,195 mg,270 mg,6.65 mg,0.12 mg,9.61 mcg,19.1 mcg,19.0 mcg,0.29 mcg,0.48 mg,0.15 mg,0.23 mg,3.36 mg,0.02 mg,2.87 mcg,tr mg,17.2 mcg,0.45 g,0.00 g,
C0653F,"Carne, boi, acém, s/ gordura, à milanesa (ovo e farinha de rosca), frita (c/ óleo de soja), s/ sal",bos taurus ,264 kcal,50.0 g,7.98 g,24.0 g,15.3 g,0.48 g,0.00 g,1.28 g,104 mg,4.63 g,4.94 g,5.21 g,0.20 g,12.5 mg,2.71 mg,107 mg,22.2 mg,196 mg,272 mg,6.68 mg,0.12 mg,9.66 mcg,19.2 mcg,19.1 mcg,0.29 mcg,0.48 mg,0.15 mg,0.23 mg,3.38 mg,0.02 mg,2.88 mcg,tr mg,17.3 mcg,0.00 g,0.00 g,
C0309F,"Carne, boi, acém, s/ gordura, cozida, c/ batata, c/ sal", ,165 kcal,67.6 g,4.78 g,18.3 g,8.19 g,0.56 g,0.00 g,1.16 g,69.4 mg,3.75 g,2.66 g,0.86 g,0.20 g,6.58 mg,1.62 mg,217 mg,11.8 mg,117 mg,248 mg,5.26 mg,0.07 mg,0.09 mcg,0.00 mcg,0.00 mcg,1.80 mcg,0.18 mg,0.02 mg,0.03 mg,1.06 mg,0.08 mg,1.74 mcg,1.58 mg,5.77 mcg,0.45 g,0.00 g,
C0308F,"Carne, boi, acém, s/ gordura, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal",bos taurus ,183 kcal,64.8 g,1.82 g,22.2 g,9.74 g,0.50 g,0.00 g,1.45 g,85.4 mg,4.56 g,3.20 g,0.85 g,0.24 g,8.07 mg,1.99 mg,303 mg,14.7 mg,138 mg,263 mg,6.43 mg,0.08 mg,0.07 mcg,26.7 mcg,13.4 mcg,2.22 mcg,0.27 mg,0.02 mg,0.04 mg,1.30 mg,0.07 mg,2.14 mcg,3.98 mg,7.48 mcg,0.45 g,0.00 g,
C0306F,"Carne, boi, acém, s/ gordura, cozida, c/ óleo, cebola e alho, c/ sal", ,212 kcal,60.0 g,1.28 g,26.0 g,11.4 g,0.12 g,0.00 g,1.27 g,101 mg,5.39 g,3.77 g,0.94 g,0.29 g,7.62 mg,2.27 mg,233 mg,14.5 mg,159 mg,255 mg,7.59 mg,0.08 mg,0.03 mcg,0.00 mcg,0.00 mcg,2.63 mcg,0.20 mg,0.00 mg,0.04 mg,1.55 mg,0.08 mg,2.55 mcg,0.41 mg,5.67 mcg,0.45 g,0.00 g,
C0307F,"Carne, boi, acém, s/ gordura, cozida, c/ óleo, cebola e alho, s/ sal", ,213 kcal,60.2 g,1.35 g,26.1 g,11.5 g,0.14 g,0.00 g,0.83 g,101 mg,5.41 g,3.80 g,1.01 g,0.29 g,7.59 mg,2.27 mg,53.5 mg,14.5 mg,159 mg,256 mg,7.59 mg,0.08 mg,0.03 mcg,0.00 mcg,0.00 mcg,2.63 mcg,0.21 mg,0.00 mg,0.04 mg,1.55 mg,0.08 mg,2.55 mcg,0.45 mg,5.74 mcg,0.00 g,0.00 g,
C0516F,"Carne, boi, acém, s/ gordura, cozida, c/ pequi, pimentão, c/ óleo, cebola e alho, c/ noz moscada, c/ pimenta do reino, c/ sal", ,215 kcal,61.4 g,3.76 g,19.7 g,13.9 g,1.86 g,0.00 g,1.21 g,90.7 mg,6.11 g,4.32 g,1.41 g,0.22 g,14.7 mg,1.85 mg,219 mg,17.2 mg,125 mg,233 mg,5.72 mg,0.12 mg,0.06 mcg,165 mcg,82.7 mcg,1.94 mcg,0.32 mg,0.03 mg,0.09 mg,1.48 mg,0.08 mg,1.88 mcg,11.5 mg,7.82 mcg,0.45 g,0.00 g,
C0517F,"Carne, boi, acém, s/ gordura, cozida, c/ pequi, pimentão, c/ óleo, cebola e alho, c/ noz moscada, c/ pimenta do reino, s/ sal", ,215 kcal,61.9 g,3.78 g,19.7 g,13.9 g,1.87 g,0.00 g,0.77 g,90.7 mg,6.11 g,4.32 g,1.41 g,0.22 g,15.3 mg,1.86 mg,39.7 mg,17.3 mg,125 mg,235 mg,5.72 mg,0.12 mg,0.06 mcg,167 mcg,83.6 mcg,1.94 mcg,0.32 mg,0.03 mg,0.09 mg,1.48 mg,0.08 mg,1.88 mcg,11.6 mg,8.14 mcg,0.00 g,0.00 g,
C0026F,"Carne, boi, acém, s/ gordura, cozida, s/ óleo, s/ sal",bos taurus ,210 kcal,60.4 g,0.63 g,27.3 g,10.9 g,0.00 g,0.00 g,0.83 g,106 mg,5.50 g,3.70 g,0.30 g,0.30 g,7.11 mg,2.37 mg,56.2 mg,14.4 mg,164 mg,254 mg,7.97 mg,0.07 mg,nan mcg,tr mcg,tr mcg,2.77 mcg,0.06 mg,tr mg,0.04 mg,1.63 mg,0.07 mg,2.68 mcg,0.00 mg,5.31 mcg,0.00 g,0.00 g,
C0652F,"Carne, boi, acém, s/ gordura, frita (c/ óleo de soja), c/ sal",bos taurus ,259 kcal,56.4 g,0.00 g,24.4 g,18.0 g,0.00 g,0.00 g,1.22 g,94.5 mg,5.61 g,6.07 g,5.05 g,0.26 g,3.80 mg,2.44 mg,227 mg,15.6 mg,150 mg,234 mg,7.42 mg,0.08 mg,4.25 mcg,tr mcg,tr mcg,0.10 mcg,1.03 mg,tr mg,0.29 mg,1.61 mg,tr mg,2.54 mcg,0.00 mg,2.84 mcg,0.45 g,0.00 g,
C0651F,"Carne, boi, acém, s/ gordura, frita (c/ óleo de soja), s/ sal",bos taurus ,261 kcal,56.7 g,0.00 g,24.6 g,18.0 g,0.00 g,0.00 g,0.77 g,94.9 mg,5.63 g,6.10 g,5.08 g,0.26 g,3.70 mg,2.45 mg,48.2 mg,15.7 mg,151 mg,235 mg,7.45 mg,0.08 mg,4.27 mcg,tr mcg,tr mcg,0.10 mcg,1.03 mg,tr mg,0.29 mg,1.62 mg,tr mg,2.55 mcg,0.00 mg,2.85 mcg,0.00 g,0.00 g,
C0610F,"Carne, boi, alcatra, à milanesa (ovo e farinha de rosca), frita (c/ óleo de soja), c/ sal",bos taurus ,282 kcal,47.9 g,7.94 g,26.0 g,16.3 g,0.48 g,0.00 g,1.83 g,98.2 mg,4.69 g,5.35 g,5.11 g,0.20 g,11.9 mg,2.95 mg,277 mg,27.9 mg,201 mg,318 mg,3.63 mg,0.10 mg,9.77 mcg,20.2 mcg,20.1 mcg,0.30 mcg,0.72 mg,0.13 mg,0.12 mg,3.44 mg,0.01 mg,2.31 mcg,tr mg,24.0 mcg,0.45 g,0.00 g,
C0609F,"Carne, boi, alcatra, à milanesa (ovo e farinha de rosca), frita (c/ óleo de soja), s/ sal",bos taurus ,283 kcal,48.1 g,7.98 g,26.1 g,16.4 g,0.48 g,0.00 g,1.39 g,98.6 mg,4.71 g,5.37 g,5.13 g,0.20 g,11.8 mg,2.96 mg,98.3 mg,28.0 mg,202 mg,319 mg,3.65 mg,0.10 mg,9.82 mcg,20.3 mcg,20.2 mcg,0.30 mcg,0.72 mg,0.13 mg,0.12 mg,3.45 mg,0.01 mg,2.32 mcg,tr mg,24.1 mcg,0.00 g,0.00 g,
C0055F,"Carne, boi, alcatra, crua (média de amostras frescas, resfriada, congelada)",bos taurus ,134 kcal,71.0 g,0.01 g,23.5 g,4.47 g,0.00 g,0.00 g,1.04 g,34.5 mg,1.94 g,1.89 g,0.06 g,0.10 g,3.19 mg,1.97 mg,43.1 mg,20.0 mg,165 mg,298 mg,2.96 mg,0.03 mg,2.56 mcg,3.52 mcg,3.52 mcg,0.07 mcg,0.24 mg,0.12 mg,0.07 mg,3.59 mg,tr mg,2.24 mcg,0.00 mg,nan mcg,0.00 g,0.00 g,
C0608F,"Carne, boi, alcatra, frita (c/ óleo de soja), c/ sal",bos taurus ,285 kcal,48.0 g,0.00 g,29.2 g,18.6 g,0.00 g,0.00 g,1.56 g,84.4 mg,5.88 g,6.34 g,5.05 g,0.24 g,4.24 mg,2.91 mg,227 mg,23.8 mg,255 mg,352 mg,4.42 mg,0.12 mg,5.17 mcg,tr mcg,tr mcg,0.14 mcg,1.31 mg,0.03 mg,0.05 mg,4.27 mg,0.05 mg,2.87 mcg,0.00 mg,13.1 mcg,0.45 g,0.00 g,
C0607F,"Carne, boi, alcatra, frita (c/ óleo de soja), s/ sal",bos taurus ,286 kcal,48.2 g,0.00 g,29.4 g,18.7 g,0.00 g,0.00 g,1.12 g,84.8 mg,5.91 g,6.37 g,5.08 g,0.24 g,4.15 mg,2.92 mg,47.5 mg,23.9 mg,256 mg,354 mg,4.44 mg,0.12 mg,5.20 mcg,tr mcg,tr mcg,0.14 mcg,1.32 mg,0.03 mg,0.05 mg,4.29 mg,0.05 mg,2.88 mcg,0.00 mg,13.1 mcg,0.00 g,0.00 g,
C0613F,"Carne, boi, alcatra, grelhada/assada, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal",bos taurus ,201 kcal,58.9 g,1.34 g,25.9 g,10.4 g,0.51 g,0.00 g,1.31 g,73.8 mg,4.24 g,4.16 g,0.86 g,0.18 g,5.93 mg,2.63 mg,122 mg,24.0 mg,230 mg,369 mg,3.91 mg,0.11 mg,4.59 mcg,27.3 mcg,13.7 mcg,0.12 mcg,0.62 mg,0.05 mg,0.05 mg,3.73 mg,0.05 mg,2.50 mcg,4.07 mg,14.7 mcg,0.00 g,0.00 g,
C0952F,"Carne, boi, baço, cozido, s/ óleo, s/ sal", ,138 kcal,69.2 g,0.00 g,25.0 g,4.20 g,0.00 g,0.00 g,1.60 g,347 mg,1.39 g,1.12 g,0.31 g,nan g,12.0 mg,40.0 mg,57.0 mg,19.0 mg,305 mg,284 mg,2.79 mg,0.92 mg,91.4 mcg,0.00 mcg,0.00 mcg,nan mcg,nan mg,0.05 mg,0.30 mg,5.57 mg,0.04 mg,5.02 mcg,50.3 mg,4.00 mcg,0.00 g,0.00 g,
C0890F,"Carne, boi, bucho, cozida, c/ óleo, cebola e alho, c/ sal", ,134 kcal,72.4 g,0.75 g,20.6 g,5.47 g,0.14 g,0.00 g,0.79 g,232 mg,2.45 g,1.60 g,0.82 g,0.14 g,13.4 mg,0.57 mg,215 mg,7.84 mg,62.9 mg,81.3 mg,2.38 mg,0.06 mg,38.1 mcg,tr mcg,tr mcg,0.00 mcg,0.21 mg,tr mg,tr mg,2.06 mg,0.01 mg,0.45 mcg,0.45 mg,3.53 mcg,0.45 g,0.00 g,
C0891F,"Carne, boi, bucho, cozida, c/ óleo, cebola e alho, s/ sal", ,135 kcal,72.7 g,0.75 g,20.7 g,5.49 g,0.14 g,0.00 g,0.35 g,233 mg,2.47 g,1.61 g,0.82 g,0.14 g,13.4 mg,0.57 mg,36.4 mg,7.87 mg,63.2 mg,81.6 mg,2.39 mg,0.06 mg,38.3 mcg,tr mcg,tr mcg,0.00 mcg,0.21 mg,tr mg,tr mg,2.07 mg,0.01 mg,0.46 mcg,0.45 mg,3.54 mcg,0.00 g,0.00 g,
C0889F,"Carne, boi, bucho, cozida, s/ óleo, c/ sal", ,127 kcal,73.2 g,0.00 g,21.5 g,4.48 g,0.00 g,0.00 g,0.77 g,244 mg,2.39 g,1.39 g,0.10 g,0.14 g,13.3 mg,0.58 mg,217 mg,7.38 mg,62.3 mg,69.5 mg,2.48 mg,0.05 mg,40.1 mcg,tr mcg,tr mcg,0.00 mcg,0.06 mg,tr mg,tr mg,2.17 mg,tr mg,0.48 mcg,0.00 mg,2.99 mcg,0.45 g,0.00 g,
C0027F,"Carne, boi, bucho, cozido, s/ óleo, s/ sal",bos taurus ,127 kcal,74.1 g,0.00 g,21.6 g,4.50 g,0.00 g,0.00 g,0.32 g,245 mg,2.40 g,1.40 g,0.10 g,0.14 g,13.2 mg,0.58 mg,38.2 mg,7.41 mg,62.6 mg,69.8 mg,2.49 mg,0.05 mg,40.3 mcg,tr mcg,tr mcg,0.00 mcg,0.06 mg,tr mg,tr mg,2.18 mg,tr mg,0.48 mcg,0.00 mg,3.00 mcg,0.00 g,0.00 g,
C0056F,"Carne, boi, bucho, cru",bos taurus ,132 kcal,75.0 g,0.00 g,20.5 g,5.50 g,0.00 g,0.00 g,0.37 g,144 mg,3.30 g,1.40 g,0.10 g,0.08 g,9.07 mg,0.47 mg,45.0 mg,6.40 mg,61.4 mg,84.6 mg,2.13 mg,0.06 mg,nan mcg,tr mcg,tr mcg,nan mcg,nan mg,tr mg,tr mg,2.13 mg,tr mg,nan mcg,nan mg,nan mcg,0.00 g,0.00 g,
C0057F,"Carne, boi, capa de contra-filé, c/ gordura, crua",bos taurus ,212 kcal,64.8 g,0.17 g,19.2 g,15.0 g,0.00 g,0.00 g,0.90 g,62.8 mg,6.90 g,6.20 g,0.10 g,0.31 g,5.86 mg,1.51 mg,57.5 mg,17.5 mg,144 mg,266 mg,3.54 mg,0.06 mg,nan mcg,3.76 mcg,3.76 mcg,0.00 mcg,0.00 mg,0.09 mg,0.09 mg,1.55 mg,0.12 mg,3.19 mcg,0.00 mg,3.23 mcg,0.00 g,0.00 g,
C0324F,"Carne, boi, capa de contra-filé, c/ gordura, grelhada,  c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal", ,258 kcal,55.3 g,1.53 g,24.9 g,17.1 g,0.50 g,0.00 g,1.24 g,96.3 mg,7.20 g,7.20 g,0.85 g,0.24 g,8.08 mg,2.17 mg,323 mg,17.8 mg,178 mg,318 mg,5.01 mg,0.13 mg,0.07 mcg,26.7 mcg,13.4 mcg,0.10 mcg,0.23 mg,0.02 mg,0.06 mg,1.39 mg,0.01 mg,3.07 mcg,3.98 mg,9.08 mcg,0.45 g,0.00 g,
C0322F,"Carne, boi, capa de contra-filé, c/ gordura, grelhada, c/ manteiga, c/ sal", ,348 kcal,44.6 g,0.00 g,27.7 g,26.2 g,0.00 g,0.00 g,1.47 g,128 mg,12.8 g,9.92 g,0.41 g,0.54 g,6.98 mg,2.33 mg,252 mg,16.7 mg,192 mg,291 mg,5.58 mg,0.12 mg,0.10 mcg,99.4 mcg,98.1 mcg,0.11 mcg,0.24 mg,0.00 mg,0.06 mg,1.57 mg,0.00 mg,3.47 mcg,0.00 mg,6.87 mcg,0.45 g,0.00 g,
C0323F,"Carne, boi, capa de contra-filé, c/ gordura, grelhada, c/ manteiga, s/ sal", ,351 kcal,44.5 g,0.24 g,27.7 g,26.6 g,0.00 g,0.00 g,1.02 g,129 mg,13.1 g,10.0 g,0.42 g,0.55 g,6.89 mg,2.33 mg,72.8 mg,16.7 mg,192 mg,291 mg,5.58 mg,0.12 mg,0.11 mcg,104 mcg,102 mcg,0.11 mcg,0.25 mg,0.00 mg,0.06 mg,1.57 mg,0.00 mg,3.47 mcg,0.00 mg,6.89 mcg,0.00 g,0.00 g,
C0319F,"Carne, boi, capa de contra-filé, c/ gordura, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), c/ sal", ,281 kcal,51.1 g,3.43 g,25.6 g,18.3 g,0.05 g,0.00 g,1.57 g,100.0 mg,8.04 g,7.52 g,0.80 g,0.25 g,37.8 mg,2.18 mg,263 mg,18.1 mg,197 mg,299 mg,5.09 mg,0.11 mg,1.53 mcg,19.3 mcg,19.1 mcg,0.10 mcg,0.27 mg,0.02 mg,0.12 mg,1.83 mg,0.00 mg,3.17 mcg,0.00 mg,10.9 mcg,0.45 g,0.00 g,
C0320F,"Carne, boi, capa de contra-filé, c/ gordura, grelhada, c/ molho de mostarda (creme de leite, suco de limão e mostarda), c/ sal", ,282 kcal,52.0 g,2.29 g,24.8 g,19.3 g,0.03 g,0.00 g,1.54 g,105 mg,8.64 g,7.65 g,0.31 g,0.33 g,18.7 mg,2.14 mg,301 mg,16.7 mg,188 mg,294 mg,5.01 mg,0.11 mg,0.02 mcg,0.05 mcg,0.03 mcg,0.24 mcg,0.15 mg,0.01 mg,0.07 mg,1.46 mg,0.01 mg,3.08 mcg,1.26 mg,6.81 mcg,0.45 g,0.00 g,
C0321F,"Carne, boi, capa de contra-filé, c/ gordura, grelhada, c/ molho de mostarda (creme de leite, suco de limão e mostarda), s/ sal", ,283 kcal,52.3 g,2.34 g,24.8 g,19.4 g,0.03 g,0.00 g,1.10 g,105 mg,8.68 g,7.67 g,0.31 g,0.33 g,18.9 mg,2.14 mg,123 mg,16.8 mg,189 mg,294 mg,5.01 mg,0.11 mg,0.02 mcg,0.05 mcg,0.03 mcg,0.25 mcg,0.15 mg,0.01 mg,0.07 mg,1.46 mg,0.01 mg,3.08 mcg,1.29 mg,6.84 mcg,0.00 g,0.00 g,
C0028F,"Carne, boi, capa de contra-filé, c/ gordura, grelhada, s/ óleo, s/ sal",bos taurus ,304 kcal,47.9 g,0.27 g,30.7 g,20.0 g,0.00 g,0.00 g,1.13 g,120 mg,8.80 g,8.70 g,0.30 g,0.30 g,7.26 mg,2.59 mg,80.5 mg,18.4 mg,213 mg,323 mg,6.20 mg,0.13 mg,nan mcg,tr mcg,tr mcg,0.13 mcg,nan mg,tr mg,0.06 mg,1.74 mg,tr mg,3.83 mcg,0.00 mg,7.30 mcg,0.00 g,0.00 g,
C0058F,"Carne, boi, capa de contra-filé, s/ gordura, crua",bos taurus ,126 kcal,73.0 g,0.14 g,21.5 g,4.33 g,0.00 g,0.00 g,1.00 g,58.3 mg,1.90 g,1.90 g,0.10 g,0.06 g,6.50 mg,2.04 mg,79.2 mg,19.6 mg,178 mg,325 mg,4.59 mg,0.06 mg,nan mcg,tr mcg,tr mcg,0.04 mcg,nan mg,tr mg,0.04 mg,1.81 mg,tr mg,2.45 mcg,0.00 mg,2.48 mcg,0.00 g,0.00 g,
C0333F,"Carne, boi, capa de contra-filé, s/ gordura, grelhada,  c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal", ,199 kcal,60.0 g,1.31 g,28.4 g,8.99 g,0.50 g,0.00 g,1.33 g,64.2 mg,3.60 g,3.68 g,0.77 g,0.12 g,9.35 mg,2.37 mg,324 mg,23.6 mg,237 mg,368 mg,6.16 mg,0.12 mg,0.07 mcg,26.7 mcg,13.4 mcg,0.05 mcg,0.23 mg,0.05 mg,0.07 mg,1.49 mg,0.01 mg,2.72 mcg,3.98 mg,8.42 mcg,0.45 g,0.00 g,
C0331F,"Carne, boi, capa de contra-filé, s/ gordura, grelhada, c/ manteiga, c/ sal", ,281 kcal,49.7 g,0.00 g,31.6 g,17.2 g,0.00 g,0.00 g,1.58 g,92.7 mg,8.79 g,5.96 g,0.32 g,0.40 g,8.41 mg,2.56 mg,254 mg,23.2 mg,259 mg,346 mg,6.87 mg,0.11 mg,0.10 mcg,99.4 mcg,98.1 mcg,0.06 mcg,0.24 mg,0.02 mg,0.07 mg,1.67 mg,0.00 mg,3.08 mcg,0.00 mg,6.13 mcg,0.45 g,0.00 g,
C0332F,"Carne, boi, capa de contra-filé, s/ gordura, grelhada, c/ manteiga, s/ sal", ,284 kcal,49.7 g,0.00 g,31.6 g,17.6 g,0.00 g,0.00 g,1.13 g,93.7 mg,9.02 g,6.06 g,0.33 g,0.42 g,8.32 mg,2.56 mg,74.9 mg,23.2 mg,259 mg,346 mg,6.87 mg,0.11 mg,0.11 mcg,104 mcg,102 mcg,0.06 mcg,0.25 mg,0.02 mg,0.07 mg,1.67 mg,0.00 mg,3.08 mcg,0.00 mg,6.15 mcg,0.00 g,0.00 g,
C0328F,"Carne, boi, capa de contra-filé, s/ gordura, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), c/ sal", ,221 kcal,55.8 g,3.21 g,29.1 g,10.2 g,0.05 g,0.00 g,1.66 g,67.9 mg,4.44 g,4.00 g,0.72 g,0.13 g,39.0 mg,2.38 mg,265 mg,23.9 mg,256 mg,349 mg,6.24 mg,0.10 mg,1.53 mcg,19.3 mcg,19.1 mcg,0.05 mcg,0.27 mg,0.04 mg,0.13 mg,1.92 mg,0.00 mg,2.83 mcg,0.00 mg,10.2 mcg,0.45 g,0.00 g,
C0327F,"Carne, boi, capa de contra-filé, s/ gordura, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), s/ sal", ,222 kcal,56.1 g,3.29 g,29.1 g,10.3 g,0.05 g,0.00 g,1.22 g,67.9 mg,4.47 g,4.01 g,0.73 g,0.13 g,39.7 mg,2.38 mg,86.0 mg,24.0 mg,256 mg,349 mg,6.24 mg,0.10 mg,1.56 mcg,19.8 mcg,19.5 mcg,0.05 mcg,0.28 mg,0.04 mg,0.13 mg,1.93 mg,0.00 mg,2.83 mcg,0.00 mg,10.4 mcg,0.00 g,0.00 g,
C0329F,"Carne, boi, capa de contra-filé, s/ gordura, grelhada, c/ molho de mostarda (creme de leite, suco de limão e mostarda), c/ sal", ,223 kcal,56.7 g,2.07 g,28.3 g,11.3 g,0.03 g,0.00 g,1.63 g,73.2 mg,5.04 g,4.13 g,0.23 g,0.21 g,20.0 mg,2.34 mg,303 mg,22.5 mg,247 mg,343 mg,6.16 mg,0.11 mg,0.02 mcg,0.05 mcg,0.03 mcg,0.19 mcg,0.15 mg,0.03 mg,0.08 mg,1.55 mg,0.01 mg,2.74 mcg,1.26 mg,6.16 mcg,0.45 g,0.00 g,
C0330F,"Carne, boi, capa de contra-filé, s/ gordura, grelhada, c/ molho de mostarda (creme de leite, suco de limão e mostarda), s/ sal", ,223 kcal,57.0 g,2.12 g,28.3 g,11.3 g,0.03 g,0.00 g,1.19 g,73.4 mg,5.08 g,4.15 g,0.23 g,0.21 g,20.1 mg,2.34 mg,124 mg,22.6 mg,248 mg,343 mg,6.17 mg,0.11 mg,0.02 mcg,0.05 mcg,0.03 mcg,0.20 mcg,0.15 mg,0.03 mg,0.08 mg,1.55 mg,0.01 mg,2.74 mcg,1.29 mg,6.18 mcg,0.00 g,0.00 g,
C0325F,"Carne, boi, capa de contra-filé, s/ gordura, grelhada, c/ óleo e cebola, c/ sal", ,230 kcal,54.0 g,0.48 g,33.4 g,10.5 g,0.11 g,0.00 g,1.66 g,76.3 mg,4.25 g,4.33 g,0.82 g,0.15 g,9.24 mg,2.71 mg,258 mg,25.0 mg,275 mg,375 mg,7.26 mg,0.12 mg,0.00 mcg,0.00 mcg,0.00 mcg,0.06 mcg,0.13 mg,0.03 mg,0.07 mg,1.76 mg,0.01 mg,3.23 mcg,0.21 mg,6.89 mcg,0.45 g,0.00 g,
C0326F,"Carne, boi, capa de contra-filé, s/ gordura, grelhada, c/ óleo e cebola, s/ sal", ,231 kcal,54.2 g,0.52 g,33.4 g,10.6 g,0.12 g,0.00 g,1.22 g,76.3 mg,4.26 g,4.35 g,0.88 g,0.15 g,9.20 mg,2.71 mg,78.6 mg,25.0 mg,275 mg,376 mg,7.26 mg,0.12 mg,0.00 mcg,0.00 mcg,0.00 mcg,0.06 mcg,0.14 mg,0.03 mg,0.07 mg,1.76 mg,0.01 mg,3.23 mcg,0.24 mg,6.97 mcg,0.00 g,0.00 g,
C0029F,"Carne, boi, capa de contra-filé, s/ gordura, grelhada, s/ óleo, s/ sal",bos taurus ,230 kcal,53.7 g,0.00 g,35.1 g,9.95 g,0.00 g,0.00 g,1.25 g,80.3 mg,4.30 g,4.30 g,0.20 g,0.15 g,8.84 mg,2.84 mg,82.8 mg,25.6 mg,287 mg,384 mg,7.64 mg,0.12 mg,nan mcg,tr mcg,tr mcg,0.06 mcg,nan mg,0.03 mg,0.08 mg,1.86 mg,tr mg,3.40 mcg,0.00 mg,6.48 mcg,0.00 g,0.00 g,
C0524F,"Carne, boi, charque (carne seca, carne de sol, jaba), c/ abóbora cabotian (japonesa), salsa, c/ óleo, cebola e alho, c/ sal", ,176 kcal,62.5 g,6.21 g,20.7 g,7.83 g,1.11 g,0.00 g,2.77 g,62.4 mg,2.83 g,3.28 g,0.89 g,0.22 g,13.1 mg,2.07 mg,973 mg,11.5 mg,71.8 mg,145 mg,3.49 mg,0.07 mg,0.50 mcg,249 mcg,124 mcg,0.00 mcg,4.75 mg,0.06 mg,0.04 mg,0.83 mg,0.04 mg,1.03 mcg,3.52 mg,11.2 mcg,0.45 g,0.00 g,
C0523F,"Carne, boi, charque (carne seca, carne de sol, jaba), c/ batata e vegetais - cenoura, chuchu, vagem, c/ óleo, cebola e alho, c/ sal", ,169 kcal,64.4 g,4.79 g,20.5 g,7.70 g,0.84 g,0.00 g,2.61 g,62.4 mg,2.82 g,3.23 g,0.90 g,0.23 g,14.1 mg,1.98 mg,974 mg,11.0 mg,66.0 mg,126 mg,3.43 mg,0.05 mg,0.10 mcg,66.1 mcg,33.9 mcg,0.00 mcg,1.56 mg,0.04 mg,0.04 mg,1.00 mg,0.02 mg,1.03 mcg,1.46 mg,11.1 mcg,0.45 g,0.00 g,
C0525F,"Carne, boi, charque (carne seca, carne de sol, jaba), c/ mandioca (aipim, macaxeira), extrato de tomate, pimentão, cebolinha, c/ óleo, cebola e alho, c/ sal", ,198 kcal,56.9 g,12.2 g,20.5 g,7.71 g,0.89 g,0.00 g,2.72 g,62.4 mg,2.83 g,3.24 g,0.88 g,0.23 g,17.7 mg,2.03 mg,983 mg,17.8 mg,68.3 mg,115 mg,3.44 mg,0.06 mg,0.28 mcg,10.5 mcg,5.31 mcg,0.00 mcg,1.60 mg,0.05 mg,0.04 mg,0.87 mg,0.02 mg,1.03 mcg,10.2 mg,11.6 mcg,0.45 g,0.00 g,
C0084F,"Carne, boi, charque (carne seca, carne de sol, jaba), cozido, s/ óleo",bos taurus ,262 kcal,45.8 g,2.30 g,36.4 g,11.9 g,0.00 g,0.00 g,3.63 g,113 mg,4.80 g,5.40 g,0.40 g,0.40 g,14.9 mg,3.45 mg,1442 mg,12.8 mg,100 mg,89.6 mg,6.09 mg,0.07 mg,nan mcg,tr mcg,tr mcg,0.00 mcg,2.33 mg,0.05 mg,0.07 mg,1.50 mg,tr mg,1.87 mcg,0.00 mg,11.7 mcg,nan g,nan g,
C0662F,"Carne, boi, charque (carne seca, carne de sol, jaba), dessalgada, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal",bos taurus ,217 kcal,53.5 g,1.34 g,29.4 g,10.6 g,0.51 g,0.00 g,3.24 g,90.7 mg,4.00 g,4.56 g,0.94 g,0.32 g,14.2 mg,2.86 mg,1235 mg,13.5 mg,88.3 mg,133 mg,4.92 mg,0.08 mg,6.12 mcg,27.3 mcg,13.7 mcg,0.12 mcg,0.42 mg,0.06 mg,0.06 mg,1.20 mg,0.01 mg,0.34 mcg,4.07 mg,52.6 mcg,0.00 g,0.00 g,
